Distribuidor;Nombre_Referencia;Precio_Bruto;Precio_Num_€;Bodega;Sociedad Limitada;Ciudad Origen;Pais;Tipo;Volumen (Formato);Descripción;Foto Botella;Precio aprox coste;Enlace Web
Bodeboca;Más vendidos;0,00 €;0.0;Desconocida;;;España;Blanco;75 cl;"Aquí tienes nuestros vinos más vendidos. Si todo el mundo los elige, por algo será. Esta es la sección de los infalibles, el lugar donde reunimos las botellas que vuelan de nuestro almacén porque nunca fallan. En Bodeboca puedes encontrar los grandes hits que gustan a todos: desde vinos de Ribera del Duero con cuerpo, hasta los blancos de Rueda que siempre deberías tener en la nevera.

Son vinos con el sello de aprobación de miles de clientes. Perfectos para regalar sin arriesgar. ¿No sabes por dónde empezar? Apuesta por clásicos modernos que son superventas año tras año, como Pruno, Habla del Silencio, Matsu o La Planta. ¡El éxito está garantizado!";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/mas-vendidos
Bodeboca;Argentina;0,00 €;0.0;Desconocida;;;España;Blanco;75 cl;"Argentina es sol, altitud y la fuerza de los Andes en la copa. La capital mundial de la variedad Malbec. En Bodeboca te traemos los mejores vinos de Mendoza y la Patagonia. Aquí el perfil de los tintos es inconfundible: vinos con mucho color, cuerpo y una intensidad de fruta abrumadora, pero con unos taninos dulces y aterciopelados que los hacen muy fáciles de beber.

Aunque la uva Malbec es la reina absoluta (vinos perfectos para asados), no pierdas de vista sus cabernet de altura o sus blancos aromáticos elaborados con uva Torrontés. ¿Te gustan los vinos intensos, carnosos y redondos? Argentina te va a enamorar desde el primer sorbo. Siente su arrolladora personalidad con referentes como Catena Zapata, Zuccardi, El Enemigo o Terrazas de los Andes.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/argentina
Bodeboca;Vinos de Ribera del Duero;0,00 €;0.0;Desconocida;;;España;Blanco;50 cl;"Carácter, potencia y clima extremo. Ribera del Duero es la tierra de los tintos con mayúsculas. En Bodeboca encontrarás vinos nacidos en la meseta castellana, donde los inviernos fríos y los veranos tórridos curten la uva. Desde los roble, llenos de vitalidad, hasta los vinos de guarda que son objetos de culto.

La protagonista absoluta en todos ellos es la Tinta del país (Tempranillo adaptada al terruño de la zona), que aquí da vinos con más color, tanino y estructura que en otras regiones.

Si te gustan los vinos con cuerpo, la Ribera del Duero te va a enamorar. Y también si disfrutas de los tintos de Napa Valley o del Ródano. Son aciertos seguros los procedentes de bodegas como Protos, Aalto, Emilio Moro, Pago de Carraovejas, Matarromera o Vega Sicilia. Por Bodeboca ya han pasado más de 5.000 botellas procedentes de Ribera del Duero, ¿alguien da más?";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/espana/castilla-y-leon/ribera-duero
Bodeboca;Mejor valorados;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;50 cl;"Aquí no mandan los críticos, mandas tú. Esta selección es el resultado democrático de los paladares de nuestra comunidad. En Bodeboca puedes filtrar los vinos que han conseguido las valoraciones más altas gracias a las opiniones reales de nuestros clientes.

Encontrarás de todo: desde pequeños descubrimientos de zonas emergentes que han sorprendido por su calidad, hasta grandes marcas que mantienen su prestigio añada tras añada. ¿Buscas una recomendación sincera? Fíate de las estrellas. Descubre vinos que han enamorado a la comunidad Bodeboca, como los de Juan Gil, Pago de los Capellanes o las joyas de pequeñas bodegas que nuestros usuarios han aupado al podio.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/mejor-valorados
Bodeboca;Descubre el secreto de los mejores vinos orange wines;0,00 €;0.0;Desconocida;;;España;Blanco;75 cl;"Ni blanco, ni tinto. El orange wine (o vino naranja) es una original alternativa que representa un regreso a los orígenes y es, además, una tendencia que conquista a los paladares más curiosos. En Bodeboca puedes encontrar estos vinos brisados llenos de personalidad: desde los de color dorado con notas de fruta de hueso, hasta los de aspecto ámbar intenso, más tánicos y con una textura en boca que sorprende por su volumen.

La clave está en su elaboración, a partir de uvas blancas, como la Albariño, que fermentan en contacto con sus pieles (hollejos) durante días o meses, tal y como se hace con los tintos. Este proceso ancestral les otorga su color característico, además de una mayor estructura y más complejidad aromática.

¿Te atreves a explorar? Descubre los vinos naranjas de Georgia, cuna de los vinos criados en ánforas enterradas, o los famosos ejemplos que hay en países como Italia o Eslovenia. O empieza tu iniciación con bodegas que apuestan por la tradición y la mínima intervención como Jeff Carrel, Gérard Bertrand o Fil.Loxera y Cia.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/orange-wine
Bodeboca;Comprar vinos con Tempranillo;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;50 cl;"Es la uva reina de España, el alma de nuestros tintos más célebres. Si te gusta el vino español, te gusta la Tempranillo. En Bodeboca puedes encontrarla en todas sus versiones: desde los vinos jóvenes y afrutados con maceración carbónica, hasta los más potentes tintos de regiones como Ribera del Duero o Toro, así como en los elegantes reservas que envejecen durante décadas en barricas de roble.

Esta variedad, conocida también como Tinta del país, Cencibel o Tinta de Toro, se caracteriza por su maduración temprana (de ahí su nombre). Ofrece vinos de cuerpo medio, con notas de frutos rojos y una afinidad increíble con la madera, donde desarrolla aromas a vainilla, tabaco y cuero.

¿Quieres ver cómo se comporta fuera? Nuestros vecinos de Portugal la llaman Tinta roriz o Aragonez y es clave en los vinos del Douro. O ve a lo seguro de la mano de grandes casas que la han hecho mundialmente famosa como Muga, La Rioja Alta S.A., Pago de Carraovejas o Vega Sicilia, entre otras muchas.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/tempranillo
Bodeboca;Martini Rosso 1L;10.75 €;10.75;Desconocida;;;España;Rojo / Negre;1 Litro;Todo un icono en Italia, el Martini original fue resultado del olfato privilegiado de Luigi Rossi. Mantiene su receta original desde 1863 y solo tres personas en el mundo conocen el secreto. Su esencia la componen una selección de hierbas regionales y un toque de caramelo natural. La artemisa es un ingrediente indispensable y continúa cultivándose a pocos kilómetros de Pessione.;https://www.bodeboca.com/sites/default/files/wines/2020-02/bot-martini-rosso.jpg;;https://www.bodeboca.com/vino/martini-rosso-1l
Bodeboca;Astobiza Vermouth Extra;20.25 €;20.25;Desconocida;;;España;Rojo / Negre;75 cl;"Un vermut de altos vuelos que ha sido seleccionado como el mejor vermut semidulce del mundo en los World Vermouth Awards 2021. Se trata del primer vermut blanco del mundo elaborado con Hondarrabi zuri, la uva protagonista en los txakolis alaveses. Se crea con el vino base que alberga la damajuana número 3 de las 12 que tiene la bodega, y se macera con botánicos entre los que destacan el ajenjo y los cítricos que redondean un trago perfecto no solo para degustar ""on the rocks"", sino también en coctelería e incluso como acompañante de comidas.";https://www.bodeboca.com/sites/default/files/wines/2021-04/bot-astobiza-vermouth-extra-sinbotellita.jpg;;https://www.bodeboca.com/vino/astobiza-vermouth-extra
Bodeboca;Vermú Petroni Rojo;12.8 €;12.8;Desconocida;;;España;Rojo / Negre;75 cl;St Petroni es un vermú rojo singular ya que se elabora con Albariño. Vinificado sobre lías, posteriormente se somete a una maceración controlada artesanalmente de 29 botánicos y se colorea con flor de hibisco para darle un característico rojo oscuro con destellos cobrizos.;https://www.bodeboca.com/sites/default/files/wines/2025-06/bot-petroni-rojo.jpg;;https://www.bodeboca.com/vino/vermu-petroni-rojo
Bodeboca;Vino tinto;0,00 €;0.0;Desconocida;;;España;Blanco;50 cl;"Cuando pensamos en vino, generalmente lo hacemos en tinto. Y es que esta tipología es la más consumida del mundo con diferencia.

En Bodeboca puedes encontrar vinos tintos de todos los estilos y para todos los gustos: frescos y frutales como los elaborados con la famosa Pinot noir de Borgoña, o más concentrados y golosos como los elaborados con uvas como la Cabernet sauvignon, famosa por alumbrar los mejores vinos de Burdeos.

Las variedades tintas más utilizadas para la elaboración de vinos españoles son la Tempranillo, también conocida como Tinta del país o Tinto fino según la región de la que procede, y las autóctonas Garnacha, Mencía, Monastrell, Cariñena o Bobal; aunque castas foráneas como la Merlot y la Syrah también han sabido hacerse un hueco en los coupages de nuestros tintos con maravillosos resultados.

¿Tienes ganas de explorar? Pues entonces descubre los vinos tintos de Francia, Italia, Portugal u otros países del Viejo y Nuevo Mundo vinícola. Y si lo que quieres es disfrutar de los mejores tintos españoles, nada como los que elaboran bodegas tan míticas como Vega Sicilia, Marqués de Murrieta, Viña Tondonia, Pago de Carraovejas, Álvaro Palacios o Abadía Retuerta, entre otras muchas.

Esperamos que esta breve guía te ayude a encontrar vinos tintos que se conviertan en tus indispensables. Utiliza los filtros y nuestro buscador para descubrirlos, te ayudarán mucho. ¡A disfrutar!";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/tinto
Bodeboca;Vermouth;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;"La hora del aperitivo tiene nombre propio: el vermut. Más que una bebida, es un ritual social que ha vuelto con más fuerza que nunca a nuestras barras y terrazas. En Bodeboca puedes encontrar vermuts para todos los gustos: los clásicos rojos de Reus, herbáceos y con ese punto dulce reconfortante; los blancos, más cítricos y ligeros; o los reservas, envejecidos en barrica para ganar complejidad y elegancia.

La base suele ser un vino blanco (de uvas como Macabeo, Airén o Albariño) macerado con una mezcla secreta de botánicos donde no puede faltar el ajenjo, junto a raíces, flores y especias. El color caoba del vermut rojo suele venir del caramelo añadido y/o de especias más oscuras e intensas (como la canela o el clavo).

¿Quieres probar otras referencias internacionales? Viaja con el paladar a Italia, concretamente a Turín, para degustar los estilos amargos que dieron origen a la leyenda. O también puedes empezar descubriendo marcas icónicas y artesanas como Lustau, Yzaguirre, St. Petroni o Carpano.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/vermut
Decantalo;Can Rich Vermouth Premium;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);Can Rich Vermouth Premium se viste de rojo caoba con reflejos anaranjados, como un atardecer que se cuela en tu copa. Su nariz fresca y envolvente combina naranjas confitadas, ajenjo, tomillo y un susurro de lavanda. En boca es redondo y amable, con un dulzor seductor que coquetea con un amargor elegante, mientras las notas especiadas y balsámicas recorren cada sorbo. Ideal para abrir la tarde en buena compañía o simplemente para dejarte llevar por su carácter mediterráneo.;https://www.decantalo.com/es/71008-large_default/can-rich-vermouth-premium.jpg;;https://www.decantalo.com/es/es/can-rich-vermouth-premium.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermut Atamán 50 cl;15.5 €;15.5;Desconocida;;;España;Rojo / Negre;50 cl;Vermut registrado en el año 1943 que se ha elaborado a partir de manzanillas de los históricos cascos bodegueros Angioletti y El Toro que se encuentran ubicados en el Barrio Alto de Sanlúcar de Barrameda. Se inspira en las antiguas reservas de Atamán, vinos quinados y vermuts viejos que ha almacenado Barbadillo durante décadas. Se desconoce por qué Manuel Barbadillo le puso el nombre de un cosaco a este vermut, posiíblemente por su fuerza y potente carácter.;https://www.bodeboca.com/sites/default/files/wines/2019-04/bot-barbadillo-vermut-ataman.jpg;;https://www.bodeboca.com/vino/vermut-ataman-50-cl
Bodeboca;Vermouth Rojo Osborne;9.9 €;9.9;Desconocida;;;España;Rojo / Negre;1 Litro;Osborne, elaborador de vinos de Jerez desde 1722, rinde tributo a una tradición centenaria con este delicado vermut elaborado a partir de la combinación de sus famosos vinos de Jerez, Medium y Pedro Ximénez, que aportan un toque dulce, intenso y untuoso. De carácter aterciopleado, entre sus notas aromáticas destaca el ajenjo, la hierba gitanera y un toque especial de piel de naranja amarga. Un vermut genuinamente andaluz.;https://www.bodeboca.com/sites/default/files/wines/2020-04/bot-vermouth-rojo-osborne.jpg;;https://www.bodeboca.com/vino/vermouth-rojo-osborne#block-productratings
Decantalo;Vermut de Francia;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/pais_francia/
Decantalo;Vermouth Carpano Fórmula Antica;0,00 €;0.0;Desconocida;;;España;Blanco;1 Litro;Vermouth Carpano Antica Formula es un vermut que en nariz ofrece notas especiadas y aromas de cítricos y frutos secos acompañados por un matiz avainillado. Su paso por boca es redondo, suave, delicado y sabroso donde se reafirman las notas de vainilla que acompañan a los sabores de naranja amarga, dátiles, cacao y azafrán. Es un vermut que equilibra con elegancia dulzor y amargor.;https://www.decantalo.com/es/15443-large_default/vermouth-carpano-formula-antinca.jpg;;https://www.decantalo.com/es/es/vermouth-carpano-formula-antinca.html#/53-formato-1_litro/177-ano-sin_anada
Bodeboca;Vermut Golfo;13.9 €;13.9;Desconocida;;;España;Rojo / Negre;50 cl;Vermut elaborado con uvas sobremaduradas de la variedad Tempranillo cultivadas en la zona burgalesa de Quintana del Pidio. Tiene un color caoba con ligeros matices ambarinos. En nariz ofrece una gran intensidad aromática, con notas herbáceas bien ensambladas. En boca posee gran frescura. La bodega lo considera un vermut con alma sureña por su madurez y con un espíritu norteño por su frescura.;https://www.bodeboca.com/sites/default/files/wines/2017-07/bot-vermut-golfo.jpg;;https://www.bodeboca.com/vino/vermut-golfo
Bodeboca;Vermut Lustau Rosé;13.75 €;13.75;Desconocida;;;España;Rojo / Negre;50 cl;Este vermut es la última incorporación de Lustau a su gama de aperitivos, que se elabora gracias a un equilibrado ensamblaje en el que se combinan Fino, Moscatel y Tintilla de Rota. Destacan sus aromas de fresa y azahar que preceden a un paso por boca sedoso y con un agradable dulzor. Se recomienda acompañar con hielo, tónica y una rodaja de pomelo rosa.;https://www.bodeboca.com/sites/default/files/wines/2021-07/bot-lustau-vermut-rose.jpg;;https://www.bodeboca.com/vino/vermut-lustau-rose#block-productratings
Decantalo;El Bandarra blanco;0,00 €;0.0;Desconocida;;;España;Blanco;1 Litro;Vermut El Bandarra blanco es un vermut muy original, de color pálido y brillante. En nariz recuerda a cítricos, menta y vainilla. En boca es fresco y sabroso, donde prevalece el carácter cítrico con un toque amargo.;https://www.decantalo.com/es/45656-large_default/el-bandarra-blanco.jpg;;https://www.decantalo.com/es/es/el-bandarra-blanco.html#/53-formato-1_litro/177-ano-sin_anada
Decantalo;Vermut El Bandarra;0,00 €;0.0;Desconocida;;;España;Blanco;1 Litro;Vermut El Bandarra es un vermut clásico, de color caoba, con reflejos anaranjados. En nariz destaca el regaliz, que se combina con aromas a hierbas de monte, especias y canela. En boca es sabroso y muy goloso, con una entrada muy suave. Buena acidez. Bien equilibrado. Final ligero y persistente.;https://www.decantalo.com/es/54580-large_default/vermut-el-bandarra.jpg;;https://www.decantalo.com/es/es/vermut-el-bandarra.html#/53-formato-1_litro/177-ano-sin_anada
Bodeboca;Vermouth La Copa Reserva;15.9 €;15.9;Desconocida;;;España;Rojo / Negre;50 cl;Este es un vermú que está elaborado siguiendo la receta tradicional de González Byass de 1906, una década después de que comenzara a hacerse esta bebida al estilo jerezano. Su origen se encuentrra en las soleras más nobles de Oloroso y PX de la casa de Jerez que cuentan con una edad media de 9 años a las que se le han añadido los botánicos más pizpiretos como ajenjo, clavo, naranja amarga, canela, nuez moscada, angélica y quina.;https://www.bodeboca.com/sites/default/files/wines/2022-07/bot-vermouth-la-copa-reserva.jpg;;https://www.bodeboca.com/vino/vermouth-copa-reserva
Bodeboca;Gamondi Vermouth di Torino Rosso 1L;11.6 €;11.6;Desconocida;;;España;Rojo / Negre;1 Litro;Considerado junto al Vermouth di Torino Bianco el aperitivo tradicional piamontés, este licor con base de vino tinto se elabora siguiendo la antigua receta de la casa fundada por Carlo Gamondi. Su elemento distintivo es la artemisia infusionada con otros 36 botánicos más dando un vermut intenso y aromático.;https://www.bodeboca.com/sites/default/files/wines/2023-06/bot-gamondi-vermouth-di-torino-rosso-1l.png;;https://www.bodeboca.com/vino/gamondi-vermouth-torino-rosso-1l#block-productratings
Decantalo;Vermut de la bodega Pernod Ricard;0,00 €;0.0;Desconocida;;;España;Blanco;1 Litro;Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/bodega_pernod-ricard/
Decantalo;El mundo del vino;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);El mundo del vino es un gran mundo. Un mundo enorme, mas bien. Bodegas, países elaboradores, zonas de elaboración, denominaciones de origen, tipos de elaboraciones posibles, formatos, envejecimientos, tipos de uvas utilizados…. Te ayudamos a descubrir infinidad de vinos con particularidades diferentes, para que poco a poco vayas descubriendo este gran, y apasionante, mundo del vino.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/mundo-del-vino.html
Decantalo;Lustau Vermut Rosé;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);El Lustau Vermut Rosé ofrece en nariz aromas que recuerdan a las fresas silvestres, la flor de azahar y la fruta escarchada acompañados por notas de pastelería y matices almendrados, florales y herbáceos. En boca se presenta con un agradable dulzor y delicadeza donde se expresan notas especiadas y herbáceas, un amargor sutil y bien integrado y un paso suave y sedoso.;https://www.decantalo.com/es/26312-large_default/vermut-lustau-rose.jpg;;https://www.decantalo.com/es/es/vermut-lustau-rose.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermut Luis XIV;13.5 €;13.5;Desconocida;;;España;Rojo / Negre;75 cl;Vermut rojo dulce elaborado a la manera tradicional de la zona del Alto Vinalopó de Alicante. Permanece madurando dos meses en toneles de roble americano centenario. Como curiosidad, la botella está serigrafiada con tinta especial luminiscente.;https://www.bodeboca.com/sites/default/files/wines/2024-02/bot-vermut-luis-xiv.png;;https://www.bodeboca.com/vino/vermut-luis-xiv#block-productratings
Bodeboca;Vermouth Rojo Osborne;9.9 €;9.9;Desconocida;;;España;Rojo / Negre;1 Litro;Osborne, elaborador de vinos de Jerez desde 1722, rinde tributo a una tradición centenaria con este delicado vermut elaborado a partir de la combinación de sus famosos vinos de Jerez, Medium y Pedro Ximénez, que aportan un toque dulce, intenso y untuoso. De carácter aterciopleado, entre sus notas aromáticas destaca el ajenjo, la hierba gitanera y un toque especial de piel de naranja amarga. Un vermut genuinamente andaluz.;https://www.bodeboca.com/sites/default/files/wines/2020-04/bot-vermouth-rojo-osborne.jpg;;https://www.bodeboca.com/vino/vermouth-rojo-osborne
Decantalo;Vermut de la bodega Belsazar;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/bodega_belsazar/
Bodeboca;Blanco;0,00 €;0.0;Desconocida;;;España;Blanco;50 cl;"Si buscas versatilidad y frescura, el vino blanco puede ser tu mejor aliado. Lejos de ser un acompañante solo para el pescado, es todo un universo de matices que combina con multitud de platos y elaboraciones.

En Bodeboca puedes encontrar blancos de todo tipo: vibrantes y afilados como los elaborados con variedades como la Albariño en Rías Baixas, o más untuosos y profundos como los obtenidos a partir de la Godello o la Viura.

Las variedades blancas protagonistas en España son la Airén (la más plantada), seguida de la Verdejo, la Albariño y la Macabeo. Pero las foráneas Chardonnay y Sauvignon blanc, entre otras, también han encontrado en nuestros suelos un hogar donde expresarse con elegancia.

¿Te apetece viajar? Pues cruza fronteras y descubre los grandes blancos de Borgoña o el Loira, los rieslings de Alemania o los blancos de Nueva Zelanda, presentes en todo el mundo. O también puedes empezar descubriendo bodegas que son referentes en España elaborando vino blanco, como Belondrade, Pazo de Señorans o Rafael Palacios, entre otras.

Esta breve guía es ideal para encontrar vinos blancos desconocidos que se adapten a tus gustos. Recuerda que con nuestros filtros y buscador puedes ir afinando hasta descubrir auténticos tesoros.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/blanco
Decantalo;Martini Bianco;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;Martini Bianco 1L es un vermut que capta la atención con su brillante tono dorado. En nariz, te envuelve con aromas suaves de vainilla, complementados por un fondo fresco de cítricos como limones y naranjas, que invitan a descubrir su elegancia. En boca, este vermut seduce con una dulzura bien equilibrada, otorgando una suavidad que recorre el paladar, ofreciendo un encanto refrescante y delicado. Una elección perfecta para quienes buscan un digestivo clásico con un perfil aromático armonioso.;https://www.decantalo.com/es/36124-large_default/martini-bianco.jpg;;https://www.decantalo.com/es/es/martini-bianco.html#/53-formato-1_litro/177-ano-sin_anada
Bodeboca;Vermut Atamán 50 cl;15.5 €;15.5;Desconocida;;;España;Rojo / Negre;50 cl;Vermut registrado en el año 1943 que se ha elaborado a partir de manzanillas de los históricos cascos bodegueros Angioletti y El Toro que se encuentran ubicados en el Barrio Alto de Sanlúcar de Barrameda. Se inspira en las antiguas reservas de Atamán, vinos quinados y vermuts viejos que ha almacenado Barbadillo durante décadas. Se desconoce por qué Manuel Barbadillo le puso el nombre de un cosaco a este vermut, posiíblemente por su fuerza y potente carácter.;https://www.bodeboca.com/sites/default/files/wines/2019-04/bot-barbadillo-vermut-ataman.jpg;;https://www.bodeboca.com/vino/vermut-ataman-50-cl#block-productratings
Bodeboca;Vermouth;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;"La hora del aperitivo tiene nombre propio: el vermut. Más que una bebida, es un ritual social que ha vuelto con más fuerza que nunca a nuestras barras y terrazas. En Bodeboca puedes encontrar vermuts para todos los gustos: los clásicos rojos de Reus, herbáceos y con ese punto dulce reconfortante; los blancos, más cítricos y ligeros; o los reservas, envejecidos en barrica para ganar complejidad y elegancia.

La base suele ser un vino blanco (de uvas como Macabeo, Airén o Albariño) macerado con una mezcla secreta de botánicos donde no puede faltar el ajenjo, junto a raíces, flores y especias. El color caoba del vermut rojo suele venir del caramelo añadido y/o de especias más oscuras e intensas (como la canela o el clavo).

¿Quieres probar otras referencias internacionales? Viaja con el paladar a Italia, concretamente a Turín, para degustar los estilos amargos que dieron origen a la leyenda. O también puedes empezar descubriendo marcas icónicas y artesanas como Lustau, Yzaguirre, St. Petroni o Carpano.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/vermut?algolia_index_top_rated%5Bpage%5D=2
Decantalo;Vermut de la bodega Lustau;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/bodega_lustau/
Decantalo;61 Vermouth Verdejo;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);61 Vermouth Verdejo es un vermut con notas característicamente varietales de la uva verdejo, que también muestra aromas de monte bajo, con matices que recuerdan al hinojo, a la flor del saúco, al tomillo y al romero. Su paso por boca es equilibrado y muy agradable, con una nota balsámica que se corresponde a lo que muestra en nariz, un paso largo y un final sutilmente amargo.;https://www.decantalo.com/es/54161-large_default/61-vermouth-verdejo.jpg;;https://www.decantalo.com/es/es/61-vermouth-verdejo.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Yzaguirre Rojo Clásico;8.2 €;8.2;Desconocida;;;España;Rojo / Negre;1 Litro;Este vermut se elabora siguiendo el método tradicional de las antiguas casas productoras nacidas en las estribaciones de los Alpes italianos. Su fórmula exclusiva combina cerca de 80 hierbas y especias para darle ese toque tan especial y distintivo.;https://www.bodeboca.com/sites/default/files/wines/2021-11/bot-yzaguirre-rojo-clasico.jpg;;https://www.bodeboca.com/vino/yzaguirre-rojo-clasico#block-productratings
Bodeboca;61 Vermouth Verdejo;10.9 €;10.9;Desconocida;;;España;Rojo / Negre;75 cl;61 Vermouth Verdejo es posíblemente el único del mercado elaborado a partir de la variedad Verdejo. Se embotella en una botella jerezana para reivindicar su personalidad vinícola. Este vermouth original es fruto del ensamblaje de un 50% de vino fermentado en barrica criado sobre lías y otro 50% de vino joven. El objetivo es que el resultado, macerado con la selección de botánicos escogidos por Roberto L. Tello, exprese y respete el carácter de la uva. Misión cumplida.;https://www.bodeboca.com/sites/default/files/wines/2021-07/bot-61-vermouth.jpg;;https://www.bodeboca.com/vino/61-vermouth-verdejo
Bodeboca;Vinos de Francia;0,00 €;0.0;Desconocida;;;España;Blanco;50 cl;"Francia es el espejo donde se mira el mundo del vino. La cuna de las variedades internacionales y del concepto de terroir. En Bodeboca te lo ponemos fácil para viajar al país del hexágono: encuentra la delicadeza y los aromas a tierra típicos de la Pinot noir en Borgoña, la estructura y longevidad de los grandes tintos de Burdeos, o la frescura mineral de los blancos del Loira y Chablis. Y, cómo no, el glamour de sus champagnes y de sus rosados de Provenza.

Estás en el destino ideal si buscas elegancia, sutileza y vinos que cuentan historias de siglos pasados, presentes y futuros. Empieza a disfrutar del savoir-faire y del charme francés con bodegas legendarias como Louis Latour, M. Chapoutier, Moët & Chandon o Château d'Yquem, entre otras muchos mitos con los que cuenta el país del vino por antonomasia.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/francia
Bodeboca;Comprar vinos con Garnacha;0,00 €;0.0;Desconocida;;;España;Blanco;50 cl;"La Garnacha ha pasado de ser el patito feo de los viñedos españoles por su menor rendimiento respecto a otras uvas como la Tempranillo, a convertirse en la variedad más deseada y seductora del momento.

En Bodeboca puedes viajar a través de sus paisajes: la elegancia etérea y mineral de las garnachas de Gredos, la potencia y concentración de las de Aragón o la profundidad licorosa de las del Priorat. Sin olvidar los rosados frescos de Navarra, también elaborados con esta variedad.

Es una uva heroica, resistente a la sequía y al viento, que ofrece vinos cálidos, con una fruta roja golosa que recuerda a la fresa o la frambuesa y un toque especiado inconfundible.

¿Buscas referentes internacionales? Pues debes saber que esta casta es la protagonista de los prestigiosos vinos de Châteauneuf-du-Pape, en el Ródano francés, y brilla también en Australia. O empieza descubriendo a los maestros de la Garnacha nacional como Álvaro Palacios, Comando G o Borsao.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/garnacha
Bodeboca;Vermú Petroni Rojo;12.8 €;12.8;Desconocida;;;España;Rojo / Negre;75 cl;St Petroni es un vermú rojo singular ya que se elabora con Albariño. Vinificado sobre lías, posteriormente se somete a una maceración controlada artesanalmente de 29 botánicos y se colorea con flor de hibisco para darle un característico rojo oscuro con destellos cobrizos.;https://www.bodeboca.com/sites/default/files/wines/2025-06/bot-petroni-rojo.jpg;;https://www.bodeboca.com/vino/vermu-petroni-rojo#block-productratings
